Time - Plot 0,Amplitude - Plot 0
2,24
3,25.5
4,30
5,31.75
6,31.25
7,30.25
8,32
9,31.5
10,31.75
11,32.5
12,32.25
13,32.5
14,32.75
15,32.25
16,32.5
17,32.25
18,32.25
19,28.75
20,27.75
21,27
22,27
23,26.5
24,25.25
25,24.75
26,25.25
27,26.25
28,27.75
29,27.75
30,28.5
31,29.75
32,29.5
33,27.25
34,26.25
35,25.75
36,25.75
37,25.75
38,25.5
39,25.25
40,25.5
41,25.5
42,25.5
43,25
44,25.25
45,25.25
46,24.5
47,25.75
48,26.5
49,26.75
50,27
51,27
52,27.25
53,27.25
54,27.25
55,27.25
56,25.5
57,26.25
58,26.5
59,26.5
60,26.5
61,26.25
